variable name,variable description,format/codes,notes,,,,,,,,,,,,,,,,,,,,,
review_id,article id from abstract review page,,,,,,,,,,,,,,,,,,,,,,,
review_id_label,last name of first author and date of publication,,,,,,,,,,,,,,,,,,,,,,,
m_design,study design,"(1) randomized control trial, (2) case-control study, (3) prospective cohort study, (4) retrospective cohort, (5) case-cohort,  (6) other observational design",,,,,,,,,,,,,,,,,,,,,,
m_countr,country,iso-3611 country code (3 letter),,,,,,,,,,,,,,,,,,,,,,
vaccine,vaccine used (brand),"(1) Shanchol, (2) Dukoral, (3) Euvichol, (4) Orvax, (5) Other",,,,,,,,,,,,,,,,,,,,,,
vaccine_other,"if other vaccine is used, specify",,,,,,,,,,,,,,,,,,,,,,,
dose_delay_min,min days between doses if average dose delay is not available,0 if single-dose,,,,,,,,,,,,,,,,,,,,,,
dose_delay_interval,days between doses (avg),0 if single-dose,taking the difference between the mean date of round 1 and round 2 in most cases,,,,,,,,,,,,,,,,,,,,,
vac_l,start of vaccination,yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,,
vac_u,end of vaccination,yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,,
study_l,"start of study (case ascertainment). The first day when an enrolled case occured in the study (for both RCT and case-control study). If the specific dates were not reported, then we use follow-up time",yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,,
study_u,"start of study (case ascertainment). The last day when an enrolled case occured in the study (for both RCT and case-control study). If the specific dates were not reported, then we use follow-up time",yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,,
num_vaccinated,number of people vaccinated in the catchment area (with dose corresponding to estimate in this entry),,,,,,,,,,,,,,,,,,,,,,,
sample_size,number of people enrolled in study (exposed plus unexposed or cases plus controls or vaccine + placebo) (specific to each VE estimate),,,,,,,,,,,,,,,,,,,,,,,
num_controls,"number of placebo recipients, controls, or other comparison group",,,,,,,,,,,,,,,,,,,,,,,
age_inc_min,minimum inclusion age (specific to each VE estimate),years,,,,,,,,,,,,,,,,,,,,,,
age_inc_max,maximum inclusion age (specific to each VE estimate),years,Inf if no maximum,,,,,,,,,,,,,,,,,,,,,
age_case_min,minimum age of case (specific to each VE estimate),years,,,,,,,,,,,,,,,,,,,,,,
age_case_max,maximum age of case (specific to each VE estimate),years,,,,,,,,,,,,,,,,,,,,,,
age_cases_mean,mean age of case (specific to each VE estimate),years,,,,,,,,,,,,,,,,,,,,,,
age_cases_median,"summary measure for age of cases (mean, median, mode) (specific to each VE estimate)",years,,,,,,,,,,,,,,,,,,,,,,
age_cases_IQR,inter quartile range of the age of cases (specific to each VE estimate),years,,,,,,,,,,,,,,,,,,,,,,
age_cases_sdev,standard deviation of the age of cases (specific to each VE estimate),years,,,,,,,,,,,,,,,,,,,,,,
vaccination_status_acser,how was vaccination status acertained,"(1) database (i.e., in RCT), (2) vaccination or study card, (3) self-report, (4) unknown",not too important,,,,,,,,,,,,,,,,,,,,,
case_ascertainment,How were cases (cholera patients) ascertained?,"(1) hosptial/clinic based, (2) community based",,,,,,,,,,,,,,,,,,,,,,
case_inclusion_criteria,Inclusion criteria for cases,,,,,,,,,,,,,,,,,,,,,,,
dehydration,,1) severly dehydrated 2) moderately dehydrated 3)mildly dehydrated,,,,,,,,,,,,,,,,,,,,,,
symptomatic,,1) symptomatic 2) asymptomatic,,,,,,,,,,,,,,,,,,,,,,
control_ascertainement,How were controls ascertained? (non-cholera participants in case-control studies); not applicable to RCT,"(1) hosptial/clinic based, (2) community based",,,,,,,,,,,,,,,,,,,,,,
control_inclusion_criteria,Inclusion criteria for controls in case-control studies and eligibility criteria in RCT,,,,,,,,,,,,,,,,,,,,,,,
