review_id,review_id_label,m_design,m_countr,vaccine,vaccine_other,dose_delay_min,dose_delay_interval,vac_l,vac_u,study_l,study_u,num_vaccinated,sample_size,num_controls,age_inc_min,age_inc_max,age_case_min,age_case_max,age_cases_mean,age_cases_median,age_cases_IQR,age_cases_sdev,vaccination_status_acser,case_ascertainment,case_inclusion_criteria,dehydration,symptomatic,control_ascertainement,control_inclusion_criteria,case_confirmation,case_confirmation_other,non_case_confirmation,non_case_confirmation_other,estim_unadj,estim_unadj_ci_l,estim_unadj_ci_u,estim_unadj_se,estim_adj,estim_adj_ci_l,estim_adj_ci_u,estim_adj_se,n_cases_vaccinated,n_noncases_vaccinated,n_cases_unvaccinated,n_noncases_unvaccinated,main_estimate,doses_l,doses_u,serotype_majority,serotype_majority_description,serotype_minority,serotype_minority_description,biotype_majority,biotype_majority_description,biotype_minority,biotype_minority_description,f_source,m_design_comment,m_countr_comment,vaccine_comment,vaccine_other_comment,dose_delay_comment,vac_l_comment,vac_u_comment,study_l_comment,study_u_comment,num_vaccinated_comment,sample_size_comment,num_controls_comment,age_inc_min_comment,age_inc_max_comment,age_case_min_comment,age_case_max_comment,age_cases_mean_comment,age_cases_median_comment,age_cases_IQR_comment,vaccination_status_acser_comment,case_ascertainment_comment,case_inclusion_criteria_comment,dehydration_coomment,symptomatic_comment,control_ascertainement_comment,control_inclusion_criteria_comment,case_confirmation_comment,case_confirmation_other_comment,non_case_confirmation_comment,non_case_confirmation_other_comment,estim_unadj_comment,estim_unadj_ci_l_comment,estim_unadj_ci_u_comment,estim_unadj_se_comment,estim_adj_comment,estim_adj_ci_l_comment,estim_adj_ci_u_comment,estim_adj_se_comment,n_cases_vaccinated_comment,n_noncases_vaccinated_comment,n_cases_unvaccinated_comment,n_noncases_unvaccinated_comment,doses_l_comment,doses_u_comment,cholera_serotype_comment,cholera_biotype_comment,f_source_comment,general_comment
2810,"Azman et al, 2016",5,SDN,1,,,,2015-07-31,2015-09-01,2015-08-09,2015-09-29,375,932,557,1,Inf,2,48,23.1,25,17-29,,2,1,"individuals aged 1 year and older on the first day of the vaccination campaign who sought care for diarrhoea at participating health structures; who had three or more loose stools in the preceding 24 h; who had lived in the same residence during the preceding 2 weeks (within a 2 h drive of central Juba); and who had not visited a health facility for diarrhoea before Aug 1, 2015, but reported that they would do so for severe diarrhoea.",,,2,Eligible cases were those aged 1 year and older on the fi rst day of the vaccination campaign who sought care for diarrhoea at all three cholera treatment centres and seven rehydration posts throughout Juba. Confirmed cases were suspected cases who tested positive to PCR for Vibrio cholerae O1.,4,,"2,3,4, and 5","5 refers to ""Suspecte cases ... and who had not visited a health facility for diarrhoea before Aug 1, 2015, but reported that they would do so for severe diarrhoea.""",80.2,61.5,100,,87.3,70.2,100,,2,373,32,525,1,1,1,1,,,,,,,,Medecines sans frontieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2006-07-28,2011-07-26,33127,69328,36201,1,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,62,49,72,,60,46,71,,82,33045,234,35967,,1,2,2,95%Ogawa,1,,1,100%,,,"Bill & Melinda Gates Foundation and the governments of South Korea, Sweden and Kuwait",,,,,,,,1 days after receipt of first dose,1825 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2006-07-28,2011-07-26,2166,4542,2376,1,4.9,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,43,10,63,,39,4,61,,31,2135,59,2317,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,1 days after receipt of first dose,1825 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2006-07-28,2011-07-26,7237,15130,7893,5,14.9,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,65,38,80,,65,39,80,,21,7216,65,7828,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,1 days after receipt of first dose,1825 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2006-07-28,2011-07-26,23724,49656,25932,15,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,70,54,81,,69,53,80,,30,23694,110,25822,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,1 days after receipt of first dose,1825 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2006-07-28,2007-07-27,33127,69328,36201,1,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,42,-6,68,,40,-10,67,,18,33109,34,36167,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,1 days after receipt of first dose,365 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2007-07-28,2008-07-26,31714,66417,34703,1,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,76,50,89,,72,42,87,,10,31704,46,34657,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,366 days after receipt of first dose,730 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2008-07-27,2009-07-26,30065,62849,32784,1,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,60,31,77,,57,26,75,,21,30044,57,32727,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,731 days after receipt of first dose,1095 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2009-07-27,2010-07-26,28664,59902,31238,1,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,57,27,75,,60,33,76,,29,28635,74,31164,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,1097 days after receipt of first dose,1460 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
210,"Bhattacharya et al, 2013",1,IND,1,,14,30,2006-07-27,2006-09-10,2010-07-27,2011-07-26,27148,56715,29567,1,Inf,,,,,,,1,1,"Non-pregnant individuals older than 1 year residing in Kolkata. A diarrhoeal visit was defined as having, in the 24 h before presentation, at least three loose stools or (if one, two, or an indeterminate number of loose stools were reported) the patient must have shown evidence of some or severe dehydration according to WHO criteria. The primary endpoint, an episode of cholera for which a patient sought care at a health-care facility, was defined as a diarrhoeal episode in which no component visit was described as bloody, in which a fecal specimen yielded V cholerae O1, and the visit to treatment centre is confirmed",,,,"Kolkata residents who are aged 1 year or older, were not pregnant, and provided written consent",3,,,,81,44,93,,81,42,94,,4,27144,23,29544,,1,2,2,95%Ogawa,1,,1,100%,,,Bill & Melinda Gates Foundation and the governments of South Korea and Sweden.,,,,,,,,1461 days after receipt of first dose,1825 days after receipt of first dose,,,,,,,,,,,,,,,,,,,,,,,,,,intention to treat,,,,,,,,,,,,,
